state_tamilnadu_vegetablemarkrtprice.com
date,state_name,vegetable_name,wholesale_price,retail_price,shoping_mall_price,unit,image
2024-05-03,TamilNadu,Raw Banana (Plantain) (வாழைக்காய்),8,9 - 10,10 - 13,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-03,TamilNadu,Amaranth Leaves (சிறு கீரை),11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-03,TamilNadu,Amla (நெல்லிக்காய்),75,86 - 95,90 - 124,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-03,TamilNadu,Ash gourd (சாம்பல் பூசணிக்காய்),18,21 - 23,22 - 30,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-03,TamilNadu,Baby Corn (சிறிய மக்காச்சோளம்),49,56 - 62,59 - 81,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-03,TamilNadu,Banana Flower (வாழைப்பூ),19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-03,TamilNadu,Capsicum (குடைமிளகாய்),44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-03,TamilNadu,Bitter Gourd (பாகற்காய்),31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-03,TamilNadu,Bottle Gourd (சுரைக்காய்),28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-03,TamilNadu,Butter Beans (பட்டர் பீன்ஸ்),47,54 - 60,56 - 78,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-03,TamilNadu,Broad Beans (அவரைக்காய்),29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-03,TamilNadu,Cabbage (முட்டைக்கோஸ்),19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-03,TamilNadu,Carrot (கேரட்),45,52 - 57,54 - 74,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-03,TamilNadu,Cauliflower (காலிஃபிளவர்),27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-03,TamilNadu,Cluster beans (கொத்தவரை),44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-03,TamilNadu,Coconut (தேங்காய்),34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-03,TamilNadu,Colocasia Leaves (சேப்பங்கிழங்கு கீரை),15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-03,TamilNadu,Colocasia (சேப்பங்கிழங்கு),27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-03,TamilNadu,Coriander Leaves (கொத்துமல்லி),9,10 - 11,11 - 15,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-03,TamilNadu,Corn (மக்காச்சோளம்),30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-03,TamilNadu,Cucumber (வெள்ளரிக்காய்),25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-03,TamilNadu,Curry Leaves (கறிவேப்பிலை),25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-03,TamilNadu,Dill Leaves (வெந்தயம் இலைகள்),10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-03,TamilNadu,Drumsticks (முருங்கைக்காய்),40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-03,TamilNadu,Brinjal (கத்திரிக்காய்),23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-03,TamilNadu,Brinjal (Big) (கத்திரிக்காய்),23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-03,TamilNadu,Elephant Yam (சேனைக்கிழங்கு),25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-03,TamilNadu,Fenugreek Leaves (வெந்தயக்கீரை),11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-03,TamilNadu,French Beans (பீன்ஸ்),52,60 - 66,62 - 86,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-03,TamilNadu,Garlic (பூண்டு),175,201 - 222,210 - 289,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-03,TamilNadu,Ginger (இஞ்சி),106,122 - 135,127 - 175,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-03,TamilNadu,Onion Green (பச்சை வெங்காயம்),43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-03,TamilNadu,Green Peas (பச்சை பட்டாணி),41,47 - 52,49 - 68,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-03,TamilNadu,Ivy Gourd (கோவைக்காய்),25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-03,TamilNadu,Lemon (Lime) (எலுமிச்சை),60,69 - 76,72 - 99,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-03,TamilNadu,Mango Raw (மாங்காய்),24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-03,TamilNadu,Mint Leaves (புதினா),5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-03,TamilNadu,Mushroom (காளான்),95,109 - 121,114 - 157,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-03,TamilNadu,Mustard Leaves (கடுகு இலைகள்),16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-03,TamilNadu,Ladies Finger (வெண்டைக்காய்),36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-03,TamilNadu,Pumpkin (பூசணி),18,21 - 23,22 - 30,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-03,TamilNadu,Radish (முள்ளங்கி),24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-03,TamilNadu,Ridge Gourd (பீர்க்கங்காய்),28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-03,TamilNadu,Shallot (Pearl Onion) (சிறிய வெங்காயம்),32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-03,TamilNadu,Snake Gourd (புடலங்காய்),22,25 - 28,26 - 36,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-03,TamilNadu,Sorrel Leaves (புளிச்ச கீரை),15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-03,TamilNadu,Spinach (கீரை),15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-03,TamilNadu,Sweet Potato (இனிப்பு உருளைக்கிழங்கு),40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-04,TamilNadu,Onion Big (பெரிய வெங்காயம்),24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
